PLAYER,MINUTES PLAYED,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,CARRIES,METRES KICKED,BALL PLAYED BY HAND,PASSES MADE,OFFLOADS,BROKEN TACKLES,KNOCK ONS,TACKLES MADE,MISSED TACKLES,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,TURNOVERS CONCEDED,HANDLING ERRORS,PENS CONCEDED,OFFSIDE PENALTIES,SCRUM PENALTIES,LINEOUTS WON,LINEOUTS STOLEN,YELLOW CARDS,RED CARD
Kyle Sinckler,306,1,0,0,0,0,132,32,0,48,17,1,0,0,51,9,4,1,1,1,1,6,1,0,1,0,0,0
Maro Itoje,400,0,1,0,0,0,103,31,14,46,15,0,1,2,63,11,6,4,2,4,2,5,1,0,16,0,0,0
Owen Farrell,354,0,0,5,6,0,187,30,1290,118,92,4,3,0,48,15,2,2,2,4,3,1,0,0,0,0,0,0
Henry Slade,278,0,0,0,0,0,108,24,144,51,28,1,1,0,16,8,1,0,1,1,4,0,0,0,0,0,0,0
Ellis Genge,297,1,1,0,0,0,204,49,0,72,26,3,8,2,32,13,2,0,0,4,4,4,0,2,0,0,0,0
Dan Cole,94,0,0,0,0,0,17,4,0,6,2,0,0,0,8,2,0,0,0,0,0,0,0,0,1,0,0,0
Ollie Lawrence,225,1,0,0,0,0,205,29,78,36,7,0,10,2,20,4,2,2,0,3,4,1,0,0,0,0,0,0
Marcus Smith,169,0,1,1,1,0,235,26,472,72,47,1,9,3,20,4,0,0,0,7,4,0,0,0,1,0,0,0
Anthony Watson,256,1,0,0,0,0,182,25,152,34,10,1,13,1,14,2,3,0,0,2,3,0,0,0,0,0,0,0
Jack Walker,27,0,0,0,0,0,30,6,0,7,1,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0
Max Malins,298,2,1,0,0,0,244,25,257,34,10,1,7,5,33,8,3,0,1,7,7,2,0,0,0,0,0,0
Ben Curry,136,0,0,0,0,0,90,16,0,23,8,1,1,1,27,6,5,2,2,2,1,2,0,0,0,0,0,0
David Ribbans,75,0,0,0,0,0,22,5,0,7,2,0,2,0,12,4,1,0,0,1,1,1,0,0,1,0,0,0
Lewis Ludlam,400,0,1,0,0,0,195,39,0,54,16,1,3,2,67,6,7,2,0,3,4,5,0,0,16,0,0,0
Alex Dombrandt,330,0,1,0,0,0,269,48,0,67,20,1,5,6,42,7,1,3,0,8,7,1,0,0,1,0,0,0
Jack Willis,229,1,0,0,0,0,79,18,0,23,5,0,0,1,59,6,5,3,0,2,2,2,0,0,0,0,1,0
Alex Mitchell,72,0,2,0,0,0,14,10,177,92,83,1,0,1,6,1,0,0,1,2,4,0,0,0,0,0,0,0
Jack van Poortvliet,306,1,1,0,0,0,71,22,1397,283,265,4,5,3,21,7,2,0,0,8,11,1,0,0,0,0,0,0
Freddie Steward,360,1,1,0,0,0,455,62,988,73,12,1,12,4,13,8,2,1,0,7,4,4,1,0,3,0,0,1
Ollie Chessum,320,1,0,0,0,0,142,25,0,41,16,0,5,2,32,5,4,0,1,2,3,3,1,0,18,0,0,0
Henry Arundell,108,1,0,0,0,0,80,7,0,7,0,0,2,0,6,3,0,1,1,3,0,1,0,0,0,0,0,0
Simone Ferrari,166,0,0,0,0,0,24,6,0,7,1,0,0,0,26,3,1,0,0,0,0,2,0,1,0,0,1,0
Sebastian Negri,317,1,0,0,0,0,277,58,0,70,12,0,11,0,45,5,4,0,0,0,3,1,0,0,10,0,0,0
Tommaso Allan,328,1,1,4,7,0,329,45,844,147,106,4,7,0,23,3,0,0,1,3,12,1,0,0,3,0,0,0
Luca Morisi,220,0,0,0,0,0,211,35,43,51,16,1,3,1,35,9,2,0,1,2,3,2,0,0,0,0,0,0
Luca Bigi,87,0,0,0,0,0,6,1,0,9,8,0,0,0,18,1,2,0,0,1,2,1,0,1,0,0,0,0
Federico Ruzza,400,0,0,0,0,0,139,28,0,58,34,4,6,3,55,2,5,2,3,6,5,2,2,0,39,2,0,0
Edoardo Padovani,254,0,0,0,0,0,155,27,258,34,7,0,4,2,7,1,1,0,1,4,3,1,0,0,0,0,0,0
Danilo Fischetti,302,0,0,0,0,0,148,30,17,39,10,0,8,1,56,6,10,1,0,2,1,10,0,7,0,0,0,0
