PLAYER,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,BROKEN TACKLES,TACKLES MADE,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,LINEOUTS STOLEN,YELLOW CARDS,RED CARD,TOTAL,MINUTES PLAYED,POINTS PER MINUTE
Johnny McNicholl,0.0,0.0,0.0,0.0,0.0,23.0,21.0,4.0,0.0,7.0,0.0,0.0,-0.0,-0.0,55.0,122,0.45081967213114754
Adam Hastings,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.8,4,0.45
Jonny Gray,0.0,0.0,0.0,0.0,0.0,16.2,21.0,48.0,7.0,0.0,0.0,0.0,-0.0,-0.0,92.2,205,0.4497560975609756
Blair Kinghorn,0.0,7.0,0.0,0.0,0.0,26.8,7.0,8.0,0.0,0.0,0.0,0.0,-0.0,-0.0,48.8,109,0.4477064220183486
Tomos Williams,0.0,7.0,0.0,0.0,0.0,18.8,35.0,28.0,0.0,0.0,7.0,0.0,-0.0,-0.0,95.8,215,0.4455813953488372
Craig Casey,0.0,7.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,8.4,19,0.4421052631578948
Leon Brown,0.0,0.0,0.0,0.0,0.0,6.2,0.0,12.0,14.0,0.0,0.0,0.0,-0.0,-0.0,32.2,73,0.4410958904109589
Ivan Nemer,0.0,0.0,0.0,0.0,0.0,5.4,14.0,26.0,0.0,0.0,7.0,0.0,-0.0,-0.0,52.4,119,0.4403361344537815
Ryan Elias,0.0,0.0,0.0,0.0,0.0,30.400000000000002,7.0,46.0,14.0,7.0,0.0,0.0,-0.0,-0.0,104.4,239,0.43682008368200836
Cherif Traore,0.0,0.0,0.0,0.0,0.0,4.6000000000000005,0.0,8.0,7.0,0.0,0.0,0.0,-0.0,-0.0,19.6,45,0.4355555555555556
Federico Ruzza,0.0,0.0,0.0,0.0,0.0,22.0,28.0,50.0,21.0,14.0,14.0,7.0,-0.0,-0.0,156.0,364,0.42857142857142855
Andrew Porter,0.0,0.0,0.0,0.0,0.0,15.4,7.0,20.0,7.0,21.0,7.0,0.0,-0.0,-0.0,77.4,181,0.4276243093922652
Magnus Bradbury,0.0,0.0,0.0,0.0,0.0,36.800000000000004,7.0,21.0,7.0,0.0,0.0,0.0,-0.0,-0.0,71.80000000000001,168,0.4273809523809525
Andrew Conway,30.0,0.0,0.0,0.0,0.0,21.200000000000003,35.0,8.0,0.0,0.0,0.0,0.0,-0.0,-0.0,94.2,222,0.4243243243243243
Michele Lamaro,0.0,0.0,0.0,0.0,0.0,31.400000000000002,7.0,86.0,14.0,14.0,7.0,0.0,-0.0,-0.0,159.4,377,0.42281167108753315
Cyril Baille,15.0,7.0,0.0,0.0,0.0,26.0,21.0,36.0,7.0,0.0,0.0,0.0,-0.0,-0.0,112.0,265,0.4226415094339623
Freddie Steward,15.0,0.0,0.0,0.0,0.0,98.4,28.0,13.0,7.0,0.0,7.0,0.0,-0.0,-0.0,168.4,400,0.42100000000000004
Paolo Garbisi,0.0,7.0,8.0,30.0,0.0,40.0,21.0,45.0,0.0,7.0,7.0,0.0,-0.0,-0.0,165.0,397,0.4156171284634761
Kyle Sinckler,15.0,0.0,0.0,0.0,0.0,21.0,0.0,34.0,7.0,7.0,14.0,0.0,-0.0,-0.0,98.0,240,0.4083333333333333
Joe Marchant,0.0,0.0,0.0,0.0,0.0,41.800000000000004,42.0,28.0,0.0,14.0,0.0,0.0,-0.0,-0.0,125.80000000000001,310,0.40580645161290324
Yoram Moefana,15.0,7.0,0.0,0.0,0.0,37.6,21.0,10.0,7.0,0.0,7.0,0.0,-0.0,-0.0,104.6,263,0.3977186311787072
Aaron Wainwright,0.0,0.0,0.0,0.0,0.0,6.4,7.0,20.0,7.0,0.0,0.0,0.0,-0.0,-0.0,40.4,102,0.396078431372549
Giosue Zilocchi,0.0,0.0,0.0,0.0,0.0,0.8,0.0,4.0,7.0,0.0,0.0,0.0,-0.0,-0.0,11.8,30,0.39333333333333337
James Ryan,0.0,0.0,0.0,0.0,0.0,13.0,14.0,23.0,7.0,0.0,0.0,0.0,-0.0,-0.0,57.0,147,0.3877551020408163
Josh Navidi,0.0,0.0,0.0,0.0,0.0,12.0,7.0,20.0,0.0,21.0,0.0,0.0,-0.0,-0.0,60.0,156,0.38461538461538464
Dylan Cretin,0.0,0.0,0.0,0.0,0.0,12.200000000000001,0.0,14.0,7.0,7.0,0.0,7.0,-0.0,-0.0,47.2,123,0.38373983739837403
Elliot Daly,15.0,7.0,0.0,0.0,0.0,31.0,14.0,20.0,14.0,0.0,7.0,0.0,-0.0,-0.0,108.0,282,0.3829787234042553
Braam Steyn,0.0,0.0,0.0,0.0,0.0,17.400000000000002,0.0,25.0,14.0,0.0,0.0,0.0,-5.0,-0.0,51.400000000000006,135,0.38074074074074077
Liam Williams,0.0,0.0,0.0,0.0,0.0,76.60000000000001,21.0,10.0,0.0,7.0,0.0,0.0,-5.0,-0.0,109.60000000000001,290,0.37793103448275867
Dan Biggar,0.0,7.0,10.0,35.0,7.0,29.0,7.0,44.0,0.0,0.0,7.0,0.0,-0.0,-0.0,146.0,389,0.37532133676092544
Sione Tuipulotu,0.0,0.0,0.0,0.0,0.0,34.6,21.0,10.0,0.0,0.0,0.0,0.0,-0.0,-0.0,65.6,175,0.37485714285714283
Tadhg Beirne,0.0,0.0,0.0,0.0,0.0,40.800000000000004,7.0,38.0,7.0,35.0,0.0,14.0,-0.0,-0.0,141.8,381,0.3721784776902887
